p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
-1.9194783,0.4026206,1.2483178,-0.90786016,0.033297367,-0.10982991,-0.9756917,0.82561976,0.080108434
-4.0719795,1.0697137,0.94512874,-1.551451,-0.69605356,1.6516086,-1.0973047,3.291792,0.8303006
0.883203,0.75547296,3.3995419,-0.23437548,-1.0472239,2.337018,0.4936276,0.57758975,-0.6126391
0.863572,0.75281453,3.4160788,-0.50530565,-0.88434315,2.2870502,1.0290799,0.46722063,-0.48533943
1.0256891,0.7839497,3.4905665,-0.2581951,-0.8829946,2.752811,0.8706959,0.6769843,-0.5178222
0.96801215,0.9982685,3.3294957,-0.5184719,-0.71910805,2.6962314,1.1506171,0.5245687,-0.34813753
0.4559891,2.3154948,3.4424355,-0.8075102,-0.91747373,1.8198352,0.3549484,-0.3440928,-0.35605958
0.5816091,2.144764,3.5828161,-1.1324344,-0.7996179,1.5628276,0.787374,-0.24987178,-0.41072038
-0.30685702,-0.6201406,2.6012778,0.15860665,0.016301537,0.40440342,0.75541985,-0.9415491,-0.8235672
-0.5292063,-0.22654076,2.1849177,0.11101549,0.112499215,0.29877248,0.47426602,-0.8883112,-0.58839226
-0.22888897,-0.28138685,2.266561,0.024291517,0.21943742,0.2277814,0.3862048,-0.70402706,-0.87326473
-0.1321964,-0.67369926,2.6094716,0.004112356,0.084087074,0.4717495,0.8289877,-0.9848382,-0.7518765
-0.45712844,-0.6647868,2.2334871,0.02508851,0.3823029,0.68542767,0.78660744,-0.9919258,-0.60757756
-0.45887306,-0.5097716,2.267571,0.10371957,0.1995263,0.69467443,0.73460853,-0.8197679,-0.598119
-1.2275357,0.9849742,2.6151817,-0.5367793,0.18860734,-0.2569758,0.6702773,-1.8765143,-0.48932007
-1.1339996,1.0685871,2.5895984,-0.5022862,0.16082753,-0.48321223,0.5377576,-1.6344367,-0.4514784
-1.2927904,1.2166677,2.2561164,-0.512173,0.41188094,-0.5076669,0.49199733,-1.6006562,-0.49888423
-1.2968712,1.3107125,2.2577693,-0.61316925,0.23399991,-0.25289065,0.38050663,-1.528177,-0.48797888
-1.7913622,0.15120003,0.31391641,-0.9730741,0.24333112,2.6500676,-1.5079242,1.5436113,-0.7914841
-0.8982709,0.15211323,-0.08712723,-1.3141818,1.8966304,2.2079246,1.5145867,1.1153588,-1.3626649
